Red,#FF0000,196
Orange,#FF8700,208
Yellow,#FFFF00,226
Chartreuse,#87FF00,118
Green,#00FF00,46
SpringGreen,#00FF87,48
Cyan,#00FFFF,51
Azure,#0087FF,195
Blue,#0000FF,21
Violet,#8700FF,93
Magenta,#FF00FF,201
Rose,#FF0087,198
White,#FFFFFF,231
Grey,#808080,244
Black,#000000,16
